gid	RNAkb	gene	firstRPKM	expandedRPKM	finalRPKM	fractionMulti
100038846	0.981	LOC100038846	0.00	0.00	0.00	0.00
100038847	1.955	LOC100038847	0.02	0.02	0.02	0.00
100038850	0.783	LOC100038850	0.00	0.00	0.02	1.00
100038852	0.814	LOC100038852	42.42	20.04	202.03	0.92
100038854	0.387	LOC100038854	0.00	0.00	0.00	0.00
100038857	1.832	LOC100038857	0.01	0.00	0.02	1.00
100038858	0.945	LOC100038858	0.57	0.29	5.61	0.96
100038859	0.948	LOC100038859	0.00	0.00	0.00	0.00
100038860	0.948	LOC100038860	0.00	0.00	0.00	0.00
100038862	3.555	LOC100038862	0.03	0.03	0.04	0.30
100038868	1.382	LOC100038868	0.67	0.80	1.25	0.46
100038875	0.509	LOC100038875	0.00	0.00	30.85	1.00
100038882	1.596	LOC100038882	2.00	4.42	3.99	0.06
100038887	0.792	LOC100038887	48.65	49.04	42.36	0.02
100038888	1.512	LOC100038888	0.00	0.00	0.00	0.00
100038890	2.236	LOC100038890	26.76	14.93	12.67	0.01
100038891	0.888	LOC100038891	0.03	0.00	0.00	0.00
100038893	1.108	LOC100038893	0.00	0.00	0.00	0.00
100038894	1.151	LOC100038894	0.00	0.00	0.00	0.00
100038895	1.243	LOC100038895	0.00	0.00	0.00	0.00
100038897	1.149	LOC100038897	0.00	0.02	0.02	0.00
100038898	1.252	LOC100038898	0.00	0.00	0.00	0.00
100038902	1.236	LOC100038902	0.00	0.00	0.00	0.00
100038903	1.085	LOC100038903	0.00	0.00	0.00	0.00
100038908	1.821	LOC100038908	0.00	0.00	0.01	1.00
100038909	2.130	LOC100038909	0.00	0.00	0.01	1.00
100038912	0.713	LOC100038912	0.10	0.10	0.08	0.00
100038914	2.966	LOC100038914	0.02	0.02	0.02	0.00
100038926	0.389	LOC100038926	0.00	0.00	0.00	0.00
100038927	0.212	LOC100038927	0.00	0.00	0.00	0.00
100038935	0.973	LOC100038935	0.00	0.00	0.00	0.00
100038937	0.856	LOC100038937	0.00	0.00	0.00	0.00
100038939	0.869	LOC100038939	0.06	0.00	0.00	0.00
100038940	3.069	LOC100038940	0.00	0.00	0.00	0.00
100038941	2.713	LOC100038941	0.00	0.00	0.00	0.00
100038942	2.553	LOC100038942	0.00	0.00	0.00	0.00
100038944	1.563	LOC100038944	0.00	0.00	0.00	0.00
100038945	2.599	LOC100038945	3.83	4.01	3.50	0.03
100038946	3.122	LOC100038946	0.00	0.00	0.00	0.00
100038947	1.515	LOC100038947	0.00	0.00	0.01	1.00
100038948	1.003	LOC100038948	0.07	0.07	2.40	0.98
100038949	4.439	LOC100038949	0.00	0.00	0.02	1.00
100038952	4.742	LOC100038952	0.00	0.00	0.00	0.00
100038953	15.981	LOC100038953	0.00	0.00	0.02	1.00
100038954	0.326	LOC100038954	0.00	0.00	0.00	0.00
100038955	18.511	LOC100038955	0.00	0.00	0.00	1.00
100038956	1.056	LOC100038956	3.56	0.68	0.67	0.14
100038957	1.187	LOC100038957	0.00	0.00	0.00	0.00
100038958	0.300	LOC100038958	0.00	0.00	0.06	1.00
100038959	0.453	LOC100038959	4.41	4.27	3.60	0.00
100038960	41.344	LOC100038960	0.00	0.00	0.00	1.00
100038961	1.340	LOC100038961	0.11	0.10	0.33	0.74
100038962	2.282	LOC100038962	0.00	0.00	0.00	0.00
100038963	15.769	LOC100038963	0.00	0.00	0.00	0.00
100038964	0.786	LOC100038964	0.00	0.00	0.05	1.00
100038965	0.870	LOC100038965	0.00	0.00	0.09	1.00
100038967	3.453	LOC100038967	0.00	0.00	0.00	0.00
100038968	23.635	LOC100038968	0.00	0.00	0.00	1.00
100038969	0.686	LOC100038969	0.00	0.00	0.06	1.00
100038971	1.185	LOC100038971	0.00	0.00	0.00	0.00
100038972	0.471	LOC100038972	0.00	0.00	0.00	0.00
100038973	0.896	LOC100038973	0.71	0.67	15.99	0.96
100038974	46.501	LOC100038974	0.53	0.51	0.45	0.03
100038975	0.250	LOC100038975	0.10	0.09	0.08	0.00
100038976	0.340	LOC100038976	0.00	0.00	0.00	0.00
100038977	1.093	LOC100038977	0.00	0.00	0.00	0.00
100038978	0.634	LOC100038978	0.00	0.00	0.06	1.00
100038979	3.097	LOC100038979	0.00	0.00	0.00	0.00
100038980	2.052	LOC100038980	0.00	0.00	0.00	0.00
100038981	1.705	LOC100038981	0.00	0.00	0.01	1.00
100038982	2.727	LOC100038982	0.02	0.02	0.15	0.89
100038983	1.005	LOC100038983	0.00	0.00	0.00	0.00
100038984	0.489	LOC100038984	0.00	0.00	0.00	0.00
100038985	1.341	LOC100038985	0.07	0.07	0.20	0.71
100038986	0.683	LOC100038986	0.00	0.00	0.00	0.00
100038987	16.827	LOC100038987	0.00	0.00	0.00	0.00
100038989	1.125	LOC100038989	0.07	0.06	0.05	0.00
100038990	0.552	LOC100038990	0.00	0.00	0.00	0.00
100038991	0.518	LOC100038991	8.66	8.18	196.12	0.96
100038992	1.022	LOC100038992	0.00	0.00	0.82	1.00
100038993	2.680	LOC100038993	0.00	0.00	1.04	1.00
100038995	3.331	LOC100038995	0.00	0.00	0.00	0.00
100038996	0.539	LOC100038996	0.05	0.04	0.83	0.96
100038997	0.829	LOC100038997	0.00	0.00	0.00	0.00
100038999	0.793	LOC100038999	0.18	0.17	2.01	0.93
100039000	3.696	LOC100039000	0.00	0.00	0.04	1.00
100039001	2.373	LOC100039001	9.01	7.71	6.60	0.01
100039002	0.697	LOC100039002	0.00	0.00	0.00	0.00
100039003	0.719	LOC100039003	0.00	0.00	0.00	0.00
100039004	0.463	LOC100039004	0.00	0.00	0.00	0.00
100039005	3.221	LOC100039005	0.00	0.00	0.00	0.00
100039006	5.308	LOC100039006	0.07	0.07	0.10	0.41
100039007	0.328	LOC100039007	0.15	0.14	0.12	0.00
100039008	0.989	LOC100039008	10.80	10.20	23.09	0.63
100039010	2.735	LOC100039010	0.00	0.00	0.00	0.00
100039011	1.066	LOC100039011	0.00	0.00	0.00	0.00
100039012	2.208	LOC100039012	0.00	0.00	0.00	0.00
100039014	1.769	LOC100039014	0.00	0.00	0.00	0.00
100039015	1.319	LOC100039015	0.00	0.00	0.00	0.00
100039016	1.065	LOC100039016	1.56	0.54	0.46	0.00
100039017	1.205	LOC100039017	0.00	0.00	0.02	1.00
100039018	0.318	LOC100039018	0.00	0.00	0.00	0.00
100039019	4.594	LOC100039019	0.01	0.01	0.03	0.71
100039020	1.027	LOC100039020	0.02	0.02	0.11	0.85
100039021	0.859	LOC100039021	0.00	0.00	0.00	0.00
100039023	2.335	LOC100039023	0.03	0.03	0.03	0.25
100039024	2.169	LOC100039024	0.00	0.00	0.00	0.00
100039025	0.429	LOC100039025	0.00	0.00	0.00	0.00
100039026	2.709	LOC100039026	0.25	0.24	3.04	0.93
100039027	0.994	LOC100039027	0.03	0.39	1.13	0.71
100039028	0.988	LOC100039028	3.46	3.26	12.08	0.77
100039029	1.319	LOC100039029	0.00	0.00	0.00	0.00
100039030	1.093	LOC100039030	0.00	0.00	0.00	0.00
100039031	3.965	LOC100039031	0.00	0.00	0.00	0.00
100039032	26.978	LOC100039032	0.00	0.00	0.00	0.00
100039034	1.770	LOC100039034	0.00	0.00	0.00	0.00
100039035	0.681	LOC100039035	0.00	0.00	0.00	0.00
100039036	0.747	LOC100039036	0.00	0.00	3.25	1.00
100039037	7.543	LOC100039037	0.00	0.00	0.00	0.00
100039038	0.441	LOC100039038	0.00	0.00	0.00	0.00
100039039	2.882	LOC100039039	0.00	0.00	0.00	0.00
100039040	0.315	LOC100039040	0.00	0.00	0.00	0.00
100039041	0.180	LOC100039041	0.00	0.00	0.00	0.00
100039042	1.848	LOC100039042	0.00	0.00	0.00	0.00
100039043	1.810	LOC100039043	0.00	0.00	0.01	1.00
100039044	2.472	LOC100039044	0.05	0.05	0.24	0.82
100039045	10.793	LOC100039045	0.00	0.00	0.01	1.00
100039046	11.882	LOC100039046	0.01	0.01	0.02	0.54
100039047	1.148	LOC100039047	2.67	3.31	2.91	0.04
100039048	1.281	LOC100039048	0.04	0.04	0.05	0.31
100039049	3.815	LOC100039049	0.00	0.00	0.00	0.00
100039050	62.708	LOC100039050	0.01	0.01	0.02	0.58
100039051	0.574	LOC100039051	0.00	0.00	0.00	0.00
100039052	1.634	LOC100039052	0.00	0.00	0.00	0.00
100039053	0.794	LOC100039053	0.00	0.00	0.10	1.00
100039054	0.929	LOC100039054	0.37	0.35	5.15	0.94
100039055	17.665	LOC100039055	0.00	0.00	0.00	1.00
100039056	1.769	LOC100039056	0.00	0.00	0.00	0.00
100039057	1.190	LOC100039057	0.00	0.00	0.00	0.00
100039058	1.487	LOC100039058	0.00	0.00	0.00	0.00
100039059	3.359	LOC100039059	0.00	0.00	0.00	0.00
100039060	1.205	LOC100039060	0.00	0.00	0.02	1.00
100039061	0.955	LOC100039061	0.00	0.00	0.00	0.00
100039062	1.419	LOC100039062	0.36	0.34	0.90	0.68
100039063	4.580	LOC100039063	0.00	0.00	0.02	1.00
100039064	0.289	LOC100039064	0.25	0.24	2.29	0.91
100039065	1.097	LOC100039065	0.00	0.00	0.00	0.00
100039066	2.786	LOC100039066	0.00	0.00	0.02	1.00
100039067	4.004	LOC100039067	0.00	0.00	0.00	0.00
100039068	2.699	LOC100039068	0.00	0.00	0.00	0.00
100039069	6.863	LOC100039069	0.01	0.01	0.01	0.40
100039070	1.959	LOC100039070	0.21	0.20	0.20	0.15
100039072	0.333	LOC100039072	0.00	0.00	0.00	0.00
100039073	2.849	LOC100039073	0.00	0.00	0.00	0.00
100039074	0.630	LOC100039074	0.00	0.00	0.00	0.00
100039075	2.520	LOC100039075	0.00	0.00	0.00	0.00
100039076	0.788	LOC100039076	0.00	0.00	0.02	1.00
100039077	1.556	LOC100039077	0.00	0.00	0.00	0.00
100039078	1.457	LOC100039078	0.13	0.13	0.98	0.89
100039079	0.276	LOC100039079	0.00	0.00	0.14	1.00
100039080	3.053	LOC100039080	0.02	0.02	0.04	0.53
100039081	1.625	LOC100039081	0.00	0.00	0.00	0.00
100039082	1.106	LOC100039082	0.00	0.00	0.00	0.00
100039083	0.290	LOC100039083	0.00	0.00	0.07	1.00
100039084	1.980	LOC100039084	0.00	0.00	0.00	0.00
100039085	8.169	LOC100039085	0.00	0.00	0.02	1.00
100039086	0.486	LOC100039086	0.70	0.66	5.24	0.89
100039087	2.892	LOC100039087	0.00	0.00	0.00	0.00
100039088	0.650	LOC100039088	0.00	0.00	0.00	0.00
100039089	0.984	LOC100039089	0.10	0.09	2.47	0.97
100039090	2.211	LOC100039090	0.00	0.00	0.00	0.00
100039091	4.878	LOC100039091	0.00	0.00	0.00	0.00
100039092	1.562	LOC100039092	1.04	0.93	0.96	0.18
100039093	107.721	LOC100039093	0.00	0.00	0.03	1.00
100039094	0.776	LOC100039094	10.40	9.83	8.35	0.01
100039095	0.417	LOC100039095	0.12	0.11	0.09	0.00
100039096	2.851	LOC100039096	0.00	0.00	0.00	0.00
100039097	2.618	LOC100039097	0.00	0.00	0.00	0.00
100039098	2.525	LOC100039098	0.00	0.00	0.00	0.00
100039099	1.925	LOC100039099	2.28	2.15	1.81	0.00
100039100	1.849	LOC100039100	0.00	0.00	0.00	0.00
100039101	0.650	LOC100039101	0.00	0.00	0.00	0.00
100039102	0.448	LOC100039102	0.00	0.00	0.00	0.00
100039103	2.189	LOC100039103	0.00	0.00	0.00	0.00
100039104	47.801	LOC100039104	0.01	0.01	0.02	0.53
100039105	6.489	LOC100039105	0.01	0.01	0.01	0.42
100039106	11.659	LOC100039106	0.01	0.01	0.05	0.83
100039108	0.693	LOC100039108	0.00	0.00	0.00	0.00
100039109	0.240	LOC100039109	0.00	0.00	0.00	0.00
100039110	0.727	LOC100039110	0.32	1.17	1.07	0.08
100039111	0.502	LOC100039111	0.00	0.00	0.00	0.00
100039112	0.369	LOC100039112	0.00	0.00	0.00	0.00
100039113	0.725	LOC100039113	0.00	0.00	0.00	0.00
100039114	0.647	LOC100039114	0.00	0.00	0.00	0.00
100039115	0.443	LOC100039115	0.00	0.00	0.00	0.00
100039116	0.986	LOC100039116	0.05	0.05	6.33	0.99
100039117	2.046	LOC100039117	0.00	0.00	0.00	0.00
100039118	1.991	LOC100039118	0.00	0.00	0.01	1.00
100039119	0.858	LOC100039119	0.00	0.00	0.00	0.00
100039120	1.095	LOC100039120	0.00	0.00	0.00	0.00
100039121	34.583	LOC100039121	0.01	0.01	0.02	0.60
100039122	0.554	LOC100039122	0.00	0.00	0.00	0.00
100039123	4.506	LOC100039123	0.05	0.05	0.08	0.48
100039124	18.357	LOC100039124	0.01	0.01	0.04	0.80
100039125	1.197	LOC100039125	0.12	0.12	0.10	0.00
100039126	10.344	LOC100039126	0.00	0.00	0.00	0.00
100039127	2.849	LOC100039127	0.00	0.00	0.00	0.00
100039128	1.186	LOC100039128	0.00	0.00	0.00	0.00
100039129	2.526	LOC100039129	0.00	0.00	0.02	1.00
100039130	0.427	LOC100039130	0.11	0.11	0.09	0.00
100039131	0.870	LOC100039131	0.00	0.00	0.07	1.00
100039133	3.300	LOC100039133	0.09	0.08	2.40	0.97
100039134	1.579	LOC100039134	0.06	0.06	0.25	0.80
100039135	0.314	LOC100039135	0.00	0.00	0.00	0.00
100039136	1.136	LOC100039136	0.00	0.00	0.00	0.00
100039137	11.675	LOC100039137	0.03	0.03	0.03	0.21
100039138	0.378	LOC100039138	0.58	0.55	0.46	0.00
100039139	1.057	LOC100039139	0.13	0.26	0.22	0.00
100039140	3.004	LOC100039140	0.01	0.01	0.01	0.43
100039141	0.984	LOC100039141	0.00	0.00	0.00	0.00
100039142	3.001	LOC100039142	0.07	0.06	0.36	0.86
100039143	0.435	LOC100039143	0.00	0.00	0.00	0.00
100039144	0.578	LOC100039144	0.00	0.00	0.00	0.00
100039145	0.525	LOC100039145	0.00	0.00	0.00	0.00
100039146	5.405	LOC100039146	0.00	0.00	0.00	1.00
100039147	29.446	LOC100039147	0.00	0.00	0.00	0.00
100039148	0.621	LOC100039148	0.00	0.00	0.03	1.00
100039149	1.041	LOC100039149	0.68	0.29	0.24	0.00
100039150	1.030	LOC100039150	0.00	0.07	3.38	0.98
100039151	0.468	LOC100039151	0.05	0.05	0.04	0.00
100039152	0.829	LOC100039152	0.00	0.00	0.00	0.00
100039153	1.044	LOC100039153	0.00	0.00	0.00	0.00
100039154	2.179	LOC100039154	0.00	0.00	0.05	1.00
100039155	2.004	LOC100039155	0.00	0.00	0.00	0.00
100039156	11.562	LOC100039156	0.00	0.00	0.12	1.00
100039157	1.072	LOC100039157	0.00	0.00	0.00	0.00
100039158	1.550	LOC100039158	0.00	0.00	0.04	1.00
100039159	0.402	LOC100039159	0.06	0.06	0.15	0.66
100039160	0.379	LOC100039160	0.00	0.00	0.00	0.00
100039161	1.654	LOC100039161	0.00	0.00	0.00	0.00
100039162	1.850	LOC100039162	0.00	0.00	0.00	0.00
100039163	1.016	LOC100039163	0.79	0.75	1.47	0.57
100039164	1.093	LOC100039164	0.00	0.00	0.00	0.00
100039165	9.725	LOC100039165	0.00	0.00	0.00	0.00
100039166	3.037	LOC100039166	0.00	0.00	0.00	0.00
100039167	0.386	LOC100039167	0.06	0.06	1.26	0.96
100039168	0.703	LOC100039168	0.03	0.03	0.08	0.69
100039169	19.760	LOC100039169	0.01	0.01	0.02	0.45
100039170	1.663	LOC100039170	0.00	0.00	0.00	0.00
100039171	2.847	LOC100039171	0.00	0.00	0.00	0.00
100039172	15.106	LOC100039172	0.00	0.00	0.00	0.00
100039173	2.411	LOC100039173	8.00	3.81	3.68	0.13
100039174	1.156	LOC100039174	0.00	0.00	12.64	1.00
100039175	1.553	LOC100039175	0.00	0.00	1.74	1.00
100039176	0.560	LOC100039176	0.00	0.00	0.00	0.00
100039177	0.985	LOC100039177	0.05	0.05	2.39	0.98
100039178	0.725	LOC100039178	0.00	0.00	0.00	0.00
100039179	0.459	LOC100039179	0.00	0.00	0.00	0.00
100039181	0.994	LOC100039181	0.00	0.00	0.00	0.00
100039182	0.840	LOC100039182	0.15	0.14	0.16	0.28
100039183	1.530	LOC100039183	0.00	0.00	0.00	0.00
100039184	0.284	LOC100039184	1.12	1.05	0.89	0.00
100039185	0.285	LOC100039185	0.00	0.00	0.00	0.00
100039186	32.393	LOC100039186	0.01	0.01	0.02	0.44
100039187	0.379	LOC100039187	0.00	0.00	0.00	0.00
100039188	0.629	LOC100039188	0.00	0.00	0.00	0.00
100039190	0.436	LOC100039190	0.00	0.00	0.13	1.00
100039191	0.419	LOC100039191	0.00	0.00	0.00	0.00
100039192	1.697	LOC100039192	0.00	0.00	7.78	1.00
100039193	1.247	LOC100039193	0.00	0.00	0.76	1.00
100039194	23.789	LOC100039194	0.00	0.00	0.00	0.00
100039195	29.710	LOC100039195	0.00	0.00	0.00	0.00
100039196	0.690	LOC100039196	0.00	0.00	0.00	0.00
100039197	34.723	LOC100039197	0.01	0.01	0.01	0.32
100039198	23.630	LOC100039198	0.00	0.00	0.02	1.00
100039199	0.561	LOC100039199	2.00	2.01	1.73	0.02
100039200	0.538	LOC100039200	0.18	0.17	0.61	0.77
100039201	0.817	LOC100039201	0.00	0.00	0.00	0.00
100039202	44.764	LOC100039202	0.00	0.00	0.01	1.00
100039203	0.784	LOC100039203	0.03	0.03	0.17	0.85
100039204	2.099	LOC100039204	0.00	0.00	0.00	0.00
100039205	4.710	LOC100039205	0.00	0.00	0.02	1.00
100039206	0.992	LOC100039206	1.77	1.67	7.21	0.80
100039208	3.682	LOC100039208	0.00	0.00	0.00	0.00
100039209	2.189	LOC100039209	0.00	0.00	0.00	0.00
100039210	1.121	LOC100039210	0.67	0.64	0.56	0.03
100039211	0.981	LOC100039211	0.55	0.54	0.46	0.00
100039212	2.848	LOC100039212	0.00	0.00	0.00	0.00
100039213	1.716	LOC100039213	0.00	0.00	0.00	0.00
100039214	1.379	LOC100039214	0.90	0.85	1.48	0.51
100039215	2.764	LOC100039215	0.00	0.00	0.00	0.00
100039217	4.602	LOC100039217	0.01	0.01	0.27	0.97
100039218	1.553	LOC100039218	0.00	0.00	0.19	1.00
100039219	0.636	LOC100039219	0.15	0.14	0.27	0.56
100039220	0.922	LOC100039220	0.34	0.32	2.25	0.88
100039221	8.621	LOC100039221	0.00	0.00	0.00	1.00
100039222	1.663	LOC100039222	0.03	0.03	0.04	0.32
100039223	0.703	LOC100039223	0.00	0.00	0.00	0.00
100039224	2.847	LOC100039224	0.00	0.00	0.00	0.00
100039225	1.045	LOC100039225	0.11	1.23	1.17	0.11
100039226	0.630	LOC100039226	0.00	0.00	0.06	1.00
100039227	2.334	LOC100039227	0.00	0.00	0.07	1.00
100039228	0.989	LOC100039228	0.10	0.09	3.16	0.98
100039229	2.244	LOC100039229	0.02	0.02	0.16	0.89
100039231	0.216	LOC100039231	0.00	0.00	0.09	1.00
100039232	1.868	LOC100039232	4.83	2.10	1.82	0.03
100039233	3.842	LOC100039233	0.00	0.00	0.01	1.00
100039234	0.396	LOC100039234	0.00	0.00	0.15	1.00
100039235	2.057	LOC100039235	0.47	0.31	0.38	0.30
100039236	2.790	LOC100039236	0.00	0.00	0.00	0.00
100039237	0.630	LOC100039237	0.00	0.00	0.00	0.00
100039238	0.366	LOC100039238	0.27	0.25	0.21	0.00
100039239	1.082	LOC100039239	2.87	3.21	2.73	0.01
100039240	1.097	LOC100039240	0.00	0.00	0.00	0.00
100039241	0.627	LOC100039241	0.00	0.00	0.00	0.00
100039242	1.368	LOC100039242	0.00	0.00	0.00	0.00
100039243	2.758	LOC100039243	0.65	0.61	1.11	0.54
100039244	0.483	LOC100039244	0.00	0.00	0.00	0.00
100039245	0.870	LOC100039245	0.00	0.00	0.00	0.00
100039246	1.553	LOC100039246	0.00	0.00	1.74	1.00
100039247	1.003	LOC100039247	0.00	0.00	2.19	1.00
100039248	1.834	LOC100039248	0.00	0.00	0.00	0.00
100039249	1.173	LOC100039249	0.00	0.00	0.00	0.00
100039250	1.275	LOC100039250	0.04	0.04	0.03	0.00
100039252	0.684	LOC100039252	0.50	0.47	2.95	0.87
100039253	32.039	LOC100039253	0.23	0.22	0.30	0.37
100039254	3.027	LOC100039254	0.01	0.01	0.03	0.70
100039255	2.002	LOC100039255	0.00	0.00	0.01	1.00
100039256	2.267	LOC100039256	0.02	0.02	0.65	0.97
100039257	1.651	LOC100039257	0.00	0.00	7.98	1.00
100039258	2.270	LOC100039258	0.70	0.66	1.37	0.59
100039259	1.190	LOC100039259	0.00	0.00	0.00	0.00
100039260	0.956	LOC100039260	0.05	0.05	0.04	0.00
100039261	1.861	LOC100039261	8.41	10.36	8.83	0.01
100039262	17.196	LOC100039262	0.00	0.00	0.01	1.00
100039263	3.070	LOC100039263	0.01	0.01	0.02	0.60
100039264	4.525	LOC100039264	0.30	0.29	0.52	0.53
100039265	0.722	LOC100039265	1.59	0.10	0.08	0.00
100039266	0.411	LOC100039266	0.00	0.00	0.09	1.00
100039267	1.575	LOC100039267	0.02	0.01	0.06	0.85
100039268	0.644	LOC100039268	0.00	0.00	0.00	0.00
100039269	3.058	LOC100039269	0.00	0.00	0.00	0.00
100039271	2.702	LOC100039271	0.00	0.00	0.00	0.00
100039272	1.293	LOC100039272	0.00	0.00	0.03	1.00
100039273	10.112	LOC100039273	0.01	0.01	0.04	0.79
100039274	0.499	LOC100039274	0.05	0.05	0.16	0.73
100039275	23.535	LOC100039275	0.02	0.02	0.04	0.54
100039276	1.353	LOC100039276	0.00	0.00	0.00	0.00
100039277	0.411	LOC100039277	0.00	0.00	0.00	0.00
100039278	0.557	LOC100039278	0.00	0.00	0.03	1.00
100039279	0.513	LOC100039279	0.00	0.00	0.00	0.00
100039280	1.716	LOC100039280	0.00	0.00	0.00	0.00
100039281	0.982	LOC100039281	1.56	1.48	18.57	0.93
100039282	5.438	LOC100039282	0.26	3.16	2.69	0.01
100039284	1.689	LOC100039284	10.24	9.37	8.43	0.06
100039285	19.806	LOC100039285	0.00	0.00	0.01	1.00
100039286	3.078	LOC100039286	7.15	4.25	3.64	0.02
100039287	1.054	LOC100039287	0.14	0.13	0.24	0.54
100039288	0.607	LOC100039288	0.04	0.04	0.19	0.83
100039289	1.690	LOC100039289	0.06	0.05	0.08	0.45
100039290	0.589	LOC100039290	0.00	0.00	0.13	1.00
100039291	0.869	LOC100039291	0.00	0.00	0.00	0.00
100039292	0.913	LOC100039292	0.03	0.03	0.43	0.94
100039293	2.334	LOC100039293	0.00	0.00	0.07	1.00
100039294	2.189	LOC100039294	0.00	0.00	0.00	0.00
100039295	2.756	LOC100039295	0.01	0.01	0.05	0.83
100039296	10.686	LOC100039296	0.09	0.09	0.09	0.13
100039297	7.643	LOC100039297	0.01	0.01	0.02	0.47
100039298	0.885	LOC100039298	2.42	2.29	1.93	0.00
100039299	0.483	LOC100039299	0.00	1.72	1.49	0.03
100039300	0.496	LOC100039300	0.10	0.09	1.37	0.94
100039301	5.051	LOC100039301	0.00	0.00	0.00	0.00
100039302	0.561	LOC100039302	0.04	0.04	0.31	0.89
100039303	0.423	LOC100039303	1.61	1.52	1.65	0.22
100039304	0.283	LOC100039304	0.00	0.00	0.55	1.00
100039305	0.886	LOC100039305	0.00	0.00	4.12	1.00
100039307	0.614	LOC100039307	2.03	1.91	1.68	0.04
100039308	0.571	LOC100039308	0.04	0.04	0.03	0.00
100039309	0.306	LOC100039309	0.00	0.00	0.06	1.00
100039310	0.330	LOC100039310	0.00	0.00	0.00	0.00
100039311	1.232	LOC100039311	0.00	0.00	0.00	0.00
100039312	0.754	LOC100039312	0.00	0.00	0.00	0.00
100039313	35.730	LOC100039313	0.00	0.00	0.00	1.00
100039314	0.619	LOC100039314	0.00	0.00	0.00	0.00
100039315	2.892	LOC100039315	0.00	0.00	0.00	0.00
100039316	0.564	LOC100039316	20.11	18.99	304.84	0.95
100039317	0.692	LOC100039317	2.29	1.60	1.55	0.13
100039318	0.228	LOC100039318	0.00	0.00	0.00	0.00
100039319	0.474	LOC100039319	0.00	0.00	0.00	0.00
100039320	2.786	LOC100039320	0.00	0.00	0.00	0.00
100039321	1.107	LOC100039321	0.00	0.00	0.00	0.00
100039322	0.368	LOC100039322	0.07	0.06	3.64	0.99
100039323	6.054	LOC100039323	0.00	0.00	0.01	1.00
100039324	1.097	LOC100039324	0.00	0.00	0.00	0.00
100039325	0.256	LOC100039325	0.00	0.00	0.00	0.00
100039326	0.452	LOC100039326	0.00	0.00	0.00	0.00
100039327	0.807	LOC100039327	0.30	0.29	0.90	0.73
100039328	32.594	LOC100039328	0.00	0.00	0.01	1.00
100039329	0.303	LOC100039329	0.00	0.00	0.00	0.00
100039330	1.849	LOC100039330	0.24	0.22	0.19	0.00
100039331	6.054	LOC100039331	0.00	0.00	0.01	1.00
100039332	0.314	LOC100039332	1.09	1.03	0.87	0.00
100039334	3.682	LOC100039334	0.00	0.00	0.00	0.00
100039335	7.179	LOC100039335	0.00	0.00	0.01	1.00
100039336	1.326	LOC100039336	0.21	0.14	0.31	0.62
